product_id,quantite,prix_unitaire,quantite_disponible,jour_semaine,mois,promo,date_commande
687a3741d9cc94be00fd0a07,9,797.26,20,3,7,10,2025-07-10
687a36e5d9cc94be00fd0a03,8,222.42,19,1,8,20,2025-08-26
687a3741d9cc94be00fd0a0b,7,213.72,83,6,6,20,2025-06-08
687a32dfd9cc94be00fd0a02,6,86.15,24,3,7,10,2025-07-17
687a3741d9cc94be00fd0a07,10,772.63,68,1,6,20,2025-06-24
687a3741d9cc94be00fd0a0b,9,186.52,78,4,8,20,2025-08-15
687a32dfd9cc94be00fd0a02,1,98.04,57,0,5,10,2025-05-19
687a36e5d9cc94be00fd0a03,2,265.69,88,6,7,0,2025-07-06
687a36e5d9cc94be00fd0a03,4,243.86,66,4,6,0,2025-06-27
687a3741d9cc94be00fd0a0b,1,215.28,58,6,7,0,2025-07-06
687a3741d9cc94be00fd0a0b,4,192.73,73,0,7,20,2025-07-14
687a36e5d9cc94be00fd0a03,4,267.53,87,5,7,10,2025-07-19
687a3741d9cc94be00fd0a07,4,987.88,21,6,8,10,2025-08-03
687a3741d9cc94be00fd0a07,9,875.72,5,0,7,0,2025-07-14
687a36e5d9cc94be00fd0a03,9,254.04,70,1,8,10,2025-08-26
687a3741d9cc94be00fd0a07,4,957.44,34,6,8,20,2025-08-17
687a3741d9cc94be00fd0a0b,8,194.39,82,4,8,0,2025-08-08
687a32dfd9cc94be00fd0a02,4,95.52,80,1,8,0,2025-08-19
687a32dfd9cc94be00fd0a02,7,95.6,46,3,8,20,2025-08-07
687a3741d9cc94be00fd0a0b,3,216.27,81,0,5,0,2025-05-12
687a3741d9cc94be00fd0a0b,8,208.02,30,6,5,0,2025-05-11
687a3741d9cc94be00fd0a07,7,773.9,82,4,7,10,2025-07-11
687a3741d9cc94be00fd0a07,7,978.52,89,6,6,0,2025-06-29
687a3741d9cc94be00fd0a0b,9,191.88,54,0,8,10,2025-08-25
687a32dfd9cc94be00fd0a02,2,90.17,28,3,7,20,2025-07-17
687a36e5d9cc94be00fd0a03,3,219.79,26,2,7,20,2025-07-23
687a32dfd9cc94be00fd0a02,5,86.33,75,3,8,20,2025-08-21
687a36e5d9cc94be00fd0a03,10,259.45,57,3,7,0,2025-07-24
687a3741d9cc94be00fd0a07,8,891.54,53,4,6,0,2025-06-06
687a3741d9cc94be00fd0a07,1,935.29,16,5,8,20,2025-08-16
687a32dfd9cc94be00fd0a02,10,93.92,28,6,6,20,2025-06-22
687a3741d9cc94be00fd0a07,10,844.7,21,1,7,10,2025-07-22
687a36e5d9cc94be00fd0a03,9,265.33,54,5,6,20,2025-06-21
687a3741d9cc94be00fd0a0b,2,188.15,74,5,5,20,2025-05-17
687a36e5d9cc94be00fd0a03,6,237.48,66,6,8,0,2025-08-03
687a36e5d9cc94be00fd0a03,10,265.16,46,5,7,20,2025-07-05
687a3741d9cc94be00fd0a07,3,765.04,43,6,6,10,2025-06-15
687a36e5d9cc94be00fd0a03,6,217.99,92,5,8,10,2025-08-23
687a32dfd9cc94be00fd0a02,2,82.3,20,1,5,10,2025-05-06
687a3741d9cc94be00fd0a07,7,824.6,45,6,5,20,2025-05-11
687a3741d9cc94be00fd0a07,9,851.0,45,5,5,0,2025-05-24
687a36e5d9cc94be00fd0a03,2,250.33,18,0,7,20,2025-07-21
687a3741d9cc94be00fd0a0b,10,191.2,48,2,8,10,2025-08-06
687a36e5d9cc94be00fd0a03,7,272.53,46,1,7,20,2025-07-08
687a3741d9cc94be00fd0a0b,9,186.02,59,3,6,20,2025-06-12
687a3741d9cc94be00fd0a0b,2,205.69,39,4,8,10,2025-08-15
687a3741d9cc94be00fd0a0b,2,177.67,61,3,5,10,2025-05-01
687a3741d9cc94be00fd0a0b,1,206.88,58,5,5,10,2025-05-17
687a32dfd9cc94be00fd0a02,4,79.93,5,6,5,0,2025-05-04
687a3741d9cc94be00fd0a0b,6,203.4,46,5,7,10,2025-07-19
687a3741d9cc94be00fd0a07,6,972.22,11,1,6,20,2025-06-03
687a36e5d9cc94be00fd0a03,1,232.94,57,1,8,20,2025-08-12
687a3741d9cc94be00fd0a07,5,937.42,25,0,6,20,2025-06-23
687a36e5d9cc94be00fd0a03,5,223.27,35,4,6,10,2025-06-13
687a36e5d9cc94be00fd0a03,2,256.34,83,1,6,0,2025-06-17
687a3741d9cc94be00fd0a0b,3,217.19,79,4,6,20,2025-06-13
687a36e5d9cc94be00fd0a03,9,270.78,5,4,7,10,2025-07-04
687a3741d9cc94be00fd0a07,8,827.89,99,3,8,0,2025-08-14
687a36e5d9cc94be00fd0a03,1,228.94,74,6,8,20,2025-08-03
687a36e5d9cc94be00fd0a03,9,225.14,20,6,5,20,2025-05-18
687a32dfd9cc94be00fd0a02,2,93.0,68,6,8,10,2025-08-10
687a36e5d9cc94be00fd0a03,9,269.36,33,3,8,10,2025-08-28
687a32dfd9cc94be00fd0a02,6,84.32,89,5,7,20,2025-07-26
687a3741d9cc94be00fd0a0b,7,178.05,69,4,5,20,2025-05-30
687a3741d9cc94be00fd0a07,6,988.35,17,5,5,10,2025-05-17
687a36e5d9cc94be00fd0a03,4,269.35,60,6,7,20,2025-07-20
687a32dfd9cc94be00fd0a02,10,94.36,67,6,6,10,2025-06-22
687a36e5d9cc94be00fd0a03,4,247.53,73,0,5,20,2025-05-05
687a3741d9cc94be00fd0a0b,8,171.79,59,2,6,0,2025-06-04
687a3741d9cc94be00fd0a0b,10,217.95,65,3,8,10,2025-08-28
687a3741d9cc94be00fd0a0b,4,212.03,72,3,5,20,2025-05-15
687a36e5d9cc94be00fd0a03,5,215.56,17,1,6,10,2025-06-17
687a3741d9cc94be00fd0a07,7,873.2,70,0,7,10,2025-07-28
687a36e5d9cc94be00fd0a03,6,233.47,17,5,8,0,2025-08-16
687a32dfd9cc94be00fd0a02,8,92.43,88,3,5,0,2025-05-01
